"Source","Target","Weight"
0,1,11
0,3,133
0,4,20
0,5,6
0,6,224
0,7,9437
0,8,42
0,9,21059
0,10,13
0,11,62
0,12,6
0,13,24044
0,14,8
0,15,16758
0,16,56
0,17,23
0,19,11
0,20,429
0,21,617
0,22,10
0,23,148
0,24,163
0,25,3
0,27,1392
0,28,1
0,29,8465
0,30,19262
0,32,52
0,33,948
0,34,948
0,35,77
0,36,202
0,37,106
0,38,43
0,39,2
0,40,2
0,41,1
0,43,42
0,44,38
0,45,73
0,46,102
0,48,2
0,49,5
0,50,32
0,51,5212
0,52,11
0,53,310
0,54,105
0,55,227
0,56,5
0,57,14
0,58,3
0,59,4
0,60,441
0,61,1
0,62,6
0,65,2
0,66,11
0,67,70
0,68,1
0,69,14
0,70,2
0,71,1
0,72,3
0,74,34
0,75,1
0,76,653
0,77,5
0,78,6
0,79,6
0,80,10
0,81,440
0,83,3
0,84,64
0,85,1
0,88,3455
0,89,2
0,95,1
0,96,18
0,97,1
0,98,3
0,99,5
0,100,4
0,101,8
0,102,4
0,103,223
0,104,1
0,105,1
0,106,227
0,108,43
0,109,1
0,110,36
0,114,3
0,115,4
0,116,4
0,118,12
0,121,8
0,123,9
0,124,235
0,129,54
0,135,583
0,136,8464
0,140,193
0,144,675
0,154,1
0,155,3
0,156,5
0,157,11
0,158,2702
0,159,30
0,160,9
0,161,1
0,162,17
0,163,2
0,164,1
0,165,3
0,166,1
0,167,15
0,169,664
0,170,24
0,171,203
0,174,443
1,2,470
1,3,1
1,4,576
1,5,232
1,6,3
1,7,30
1,8,4
1,9,2
1,10,2477
1,11,1967
1,12,750
1,13,369
1,14,2489
1,16,3
1,17,5
1,18,18
1,19,80
1,20,8
1,21,408
1,22,705
1,23,1
1,24,9
1,25,114
1,27,285
1,28,56
1,29,37
1,30,1
1,31,151
1,32,781
1,33,1271
1,34,1271
1,35,10
1,38,113
1,39,784
1,40,784
1,41,9
1,42,33
1,43,1
1,44,146
1,45,11
1,46,1
1,47,935
1,48,92
1,49,423
1,50,91
1,52,1929
1,53,6
1,54,1
1,55,12
1,56,13
1,57,15
1,58,7
1,59,1413
1,61,1389
1,62,76
1,63,599
1,64,47
1,65,792
1,66,55
1,69,4
1,70,34
1,71,17
1,72,3437
1,73,98
1,74,41
1,75,1162
1,77,179
1,78,141
1,79,141
1,84,2
1,85,23
1,89,485
1,90,93
1,91,156
1,92,488
1,93,37
1,96,41
1,97,2
1,98,14
1,99,11
1,100,46
1,102,2
1,104,171
1,105,25
1,108,108
1,109,1
1,110,29
1,111,2
1,112,1
1,113,20
1,114,19
1,115,126
1,116,1
1,117,11
1,119,3
1,120,6
1,121,11
1,122,130
1,123,50
1,124,1
1,125,21
1,126,5
1,130,8
1,132,9
1,137,210
1,140,1
1,141,2
1,142,2
1,143,17
1,145,143
1,146,4
1,147,2
1,149,3
1,152,1
1,153,1
1,157,243
1,158,458
1,159,1
1,162,9
1,165,5
1,167,3
1,170,5
2,4,3
2,5,24
2,7,1
2,8,3
2,9,5
2,10,11
2,11,59
2,12,194
2,13,1
2,14,33
2,16,7
2,17,1
2,18,4
2,19,63
2,21,9
2,22,7
2,23,1
2,24,18
2,25,7
2,26,2
2,27,6
2,28,14
2,30,1
2,33,12
2,34,12
2,35,3
2,38,2
2,39,21
2,40,21
2,41,14
2,42,31
2,43,1
2,44,63
2,45,3
2,46,1
2,47,620
2,48,6
2,49,18
2,50,8
2,52,2
2,53,2
2,54,10
2,55,6
2,56,45
2,57,31
2,58,42
2,59,3
2,61,12
2,63,145
2,64,2
2,65,98
2,66,6
2,67,4
2,69,2
2,70,5
2,71,2
2,72,390
2,73,12
2,74,7
2,75,174
2,77,2
2,78,23
2,79,23
2,80,5
2,84,4
2,85,3
2,89,49
2,90,10
2,91,9
2,92,8
2,93,33
2,94,1
2,96,93
2,97,3
2,98,5
2,99,4
2,100,1
2,101,1
2,102,5
2,104,14
2,105,5
2,107,2
2,108,46
2,109,5
2,110,48
2,111,7
2,112,13
2,113,3
2,114,162
2,115,3
2,117,28
2,118,2
2,119,11
2,120,3
2,121,1
2,122,17
2,123,36
2,125,9
2,126,3
2,128,9
2,130,78
2,131,1
2,132,19
2,133,1
2,136,4
2,137,9
2,140,1
2,141,3
2,142,164
2,143,5
2,145,12
2,146,1
2,150,5
2,151,1
2,152,4
2,157,35
2,158,19
2,170,1
3,4,1
3,6,12
3,7,337
3,8,24
3,9,141
3,11,1
3,13,289
3,14,1
3,15,17
3,16,3
3,17,76
3,18,1
3,20,3
3,21,70
3,23,309
3,24,53
3,25,6
3,27,298
3,28,1
3,29,2
3,30,24
3,32,1
3,33,70
3,34,70
3,35,22
3,36,87
3,37,54
3,38,4
3,39,5
3,40,5
3,43,126
3,44,1
3,45,13
3,46,68
3,47,1
3,49,4
3,50,80
3,51,13
3,53,22
3,54,93
3,55,67
3,59,1
3,60,10
3,63,4
3,66,1
3,67,554
3,68,11
3,69,48
3,70,1
3,71,1
3,74,9
3,76,141
3,78,2
3,79,2
3,80,32
3,81,45
3,84,47
3,85,3
3,86,1
3,87,5
3,88,13
3,89,1
3,90,3
3,92,1
3,93,1
3,94,15
3,95,2
3,99,1
3,100,2
3,101,8
3,103,21
3,106,139
3,109,15
3,114,1
3,115,2
3,116,2
3,121,13
3,124,9
3,126,1
3,127,1
3,129,9
3,132,1
3,135,4
3,136,62
3,139,1
3,140,2
3,144,17
3,157,29
3,158,172
3,159,3
3,169,141
3,170,76
3,171,87
3,174,10
4,5,1461
4,6,2
4,7,23
4,8,2
4,9,29
4,10,642
4,11,249
4,12,13
4,13,187
4,14,623
4,16,20
4,17,2
4,18,12
4,19,352
4,21,35
4,22,74
4,23,5
4,24,15
4,25,53
4,26,4
4,27,99
4,28,9
4,29,2
4,30,4
4,31,72
4,32,199
4,33,1286
4,34,1286
4,35,33
4,36,5
4,38,349
4,39,46
4,40,46
4,41,1
4,42,2
4,43,1
4,44,288
4,45,2
4,46,1
4,47,15
4,48,830
4,49,871
4,50,5
4,52,188
4,53,3
4,54,24
4,55,5
4,56,6
4,57,15
4,58,30
4,59,38
4,60,1
4,61,56
4,62,26
4,63,13
4,64,12
4,65,32
4,66,1204
4,67,23
4,68,1
4,69,6
4,72,12
4,73,3
4,74,4
4,75,300
4,76,2
4,77,416
4,78,40
4,79,40
4,80,2
4,82,7
4,83,8
4,84,3
4,85,1
4,86,2
4,87,2
4,88,1
4,89,199
4,91,9
4,92,105
4,93,3
4,94,3
4,95,1
4,96,8
4,97,1
4,98,8
4,99,3
4,100,38
4,103,2
4,104,49
4,105,2
4,106,1
4,108,38
4,109,2
4,110,9
4,113,1
4,114,4
4,115,109
4,116,1
4,120,1
4,121,14
4,122,1
4,123,2
4,124,1
4,129,4
4,130,1
4,133,3
4,135,5
4,136,7
4,139,1
4,140,3
4,142,2
4,143,31
4,144,1
4,149,1
4,150,1
4,151,1
4,152,2
4,153,3
4,154,1
4,157,83
4,158,55
4,162,8
4,166,2
4,167,9
4,169,2
4,170,2
4,171,5
4,174,1
5,6,3
5,7,40
5,8,4
5,9,1
5,10,123
5,11,99
5,12,34
5,13,168
5,14,1213
5,16,7
5,17,1
5,19,314
5,21,17
5,22,142
5,23,2
5,24,3
5,25,3
5,27,271
5,29,4
5,30,7
5,31,2333
5,32,111
5,33,1294
5,34,1294
5,35,14
5,36,4
5,38,26
5,39,186
5,40,186
5,41,3
5,42,4
5,44,444
5,45,3
5,47,46
5,48,901
5,49,516
5,52,267
5,53,1
5,54,7
5,55,5
5,56,1
5,57,2
5,58,12
5,59,340
5,60,7
5,61,30
5,62,64
5,63,29
5,64,89
5,65,43
5,66,1519
5,67,4
5,71,2
5,72,8
5,73,8
5,74,1
5,75,735
5,76,1
5,77,824
5,78,81
5,79,81
5,81,1
5,82,6
5,83,3
5,84,1
5,85,3
5,86,8
5,89,384
5,91,50
5,92,199
5,93,1
5,95,1
5,96,49
5,98,8
5,99,10
5,100,27
5,104,326
5,105,1
5,108,8
5,109,2
5,110,63
5,114,27
5,115,29
5,116,1
5,121,1
5,122,1
5,124,2
5,125,1
5,127,1
5,131,1
5,137,1
5,141,2
5,143,11
5,145,4
5,146,2
5,152,3
5,153,6
5,154,1
5,157,6
5,158,62
5,159,6
5,160,3
5,161,9
5,162,11
5,165,16
5,166,208
5,167,20
5,169,1
5,170,1
5,171,4
5,174,7
6,7,125
6,8,10414
6,9,62
6,10,2
6,11,2
6,12,8
6,13,1324
6,14,9
6,15,7
6,16,137
6,17,727
6,18,3
6,19,15
6,20,6320
6,21,1880
6,23,2781
6,24,615
6,25,3
6,26,7
6,27,7428
6,28,17
6,29,68
6,30,269
6,31,10
6,32,19
6,33,854
6,34,854
6,35,518
6,36,83
6,37,9
6,38,50
6,39,10
6,40,10
6,41,11
6,42,11
6,43,6
6,44,9
6,45,833
6,46,8
6,48,2
6,49,13
6,51,11
6,52,8
6,53,1182
6,54,149
6,55,29
6,56,15
6,57,1
6,58,1
6,60,4235
6,61,1
6,63,6
6,64,6
6,65,2
6,66,42
6,67,115
6,69,202
6,70,34
6,71,8
6,74,1800
6,75,1
6,76,377
6,77,34
6,78,4
6,79,4
6,80,7
6,81,288
6,84,8
6,85,13
6,87,8
6,88,3
6,90,2
6,91,1
6,96,9
6,97,2
6,99,2
6,101,170
6,103,12
6,105,1
6,106,5
6,107,2
6,109,21
6,110,9
6,114,2
6,121,39
6,122,1
6,123,6
6,124,947
6,129,3
6,130,1
6,132,63
6,133,3
6,134,1
6,135,5
6,136,5
6,140,12
6,144,12
6,152,2
6,154,629
6,157,84
6,158,60921
6,159,81
6,160,3
6,167,1
6,169,377
6,170,727
6,171,83
6,174,4235
7,8,54
7,9,24227
7,10,6
7,11,30
7,12,6
7,13,33367
7,14,15
7,15,205
7,16,35
7,17,8
7,19,32
7,20,277
7,21,427
7,22,16
7,23,251
7,24,131
7,25,3
7,27,3687
7,29,413
7,30,433
7,31,33
7,32,190
7,33,4446
7,34,4446
7,35,156
7,36,62
7,37,343
7,38,184
7,39,14
7,40,14
7,41,4
7,43,69
7,44,1434
7,45,37
7,46,110
7,48,11
7,49,67
7,50,24
7,51,53
7,52,27
7,53,157
7,54,178
7,55,107
7,56,7
7,57,6
7,58,6
7,59,11
7,60,99
7,61,5
7,62,39
7,63,9
7,64,6
7,65,75
7,66,555
7,67,339
7,68,1
7,69,4
7,70,1
7,71,7
7,72,4
7,73,3
7,74,27
7,75,19
7,76,167
7,77,38
7,78,4
7,79,4
7,80,6
7,81,164
7,82,1
7,84,79
7,85,2
7,88,3493
7,89,9
7,91,14
7,92,28
7,93,1
7,96,9
7,97,3
7,98,5
7,99,2
7,100,1
7,101,3
7,102,1
7,103,19
7,104,9
7,105,2
7,106,426
7,108,14
7,110,4
7,114,4
7,115,13
7,118,2
7,121,11
7,123,13
7,124,165
7,129,207
7,135,655
7,136,10598
7,137,2
7,140,610
7,141,2
7,142,1
7,143,1
7,144,822
7,145,1
7,156,5
7,157,7
7,158,1491
7,159,42
7,160,3
7,161,51
7,162,33
7,165,10
7,166,16
7,167,38
7,169,170
7,170,9
7,171,62
7,174,101
8,9,141
8,11,3
8,12,2
8,13,141
8,14,7
8,15,26
8,16,217
8,17,1974
8,19,67
8,20,6604
8,21,2636
8,22,6
8,23,1461
8,24,1529
8,26,9
8,27,936
8,28,11
8,29,20
8,30,53
8,31,1
8,33,358
8,34,358
8,35,67
8,36,106
8,37,16
8,38,10
8,39,3
8,40,3
8,41,7
8,42,3
8,43,14
8,44,15
8,45,3075
8,46,15
8,47,6
8,48,6
8,49,17
8,50,12
8,51,54
8,52,3
8,53,1880
8,54,192
8,55,69
8,56,40
8,57,2
8,58,6
8,59,4
8,60,2579
8,65,1
8,66,97
8,67,231
8,68,2
8,69,183
8,70,47
8,71,23
8,74,1302
8,75,18
8,76,197
8,77,3
8,78,2
8,79,2
8,80,9
8,81,403
8,84,143
8,85,7
8,87,4
8,88,7
8,89,11
8,96,32
8,97,4
8,98,1
8,99,6
8,101,211
8,102,1
8,103,35
8,105,2
8,106,10
8,107,3
8,108,2
8,109,40
8,110,22
8,111,2
8,113,1
8,114,13
8,115,2
8,116,2
8,117,2
8,118,5
8,119,2
8,121,38
8,123,25
8,124,96
8,129,40
8,130,2
8,132,32
8,133,13
8,135,28
8,136,10
8,137,1
8,140,21
8,142,3
8,143,1
8,144,14
8,145,1
8,150,7
8,152,3
8,154,609
8,156,1
8,157,99
8,158,56781
8,159,9
8,160,14
8,164,2
8,169,199
8,170,1988
8,171,106
8,172,166
8,174,2579
9,11,7
9,12,7
9,13,15545
9,14,23
9,15,2754
9,16,83
9,17,338
9,19,92
9,20,57
9,21,583
9,22,1
9,23,353
9,24,574
9,25,68
9,27,624
9,28,11
9,29,153
9,30,3642
9,31,1
9,32,5
9,33,761
9,34,761
9,35,534
9,36,1992
9,37,2023
9,38,46
9,39,63
9,40,63
9,41,28
9,42,27
9,43,154
9,44,55
9,45,78
9,46,298
9,47,10
9,48,8
9,49,129
9,50,110
9,51,1284
9,52,2
9,53,121
9,54,1095
9,55,525
9,56,45
9,57,21
9,58,18
9,59,1
9,60,183
9,62,3
9,63,4
9,65,5
9,66,42
9,67,173
9,68,15
9,69,70
9,70,16
9,71,16
9,72,3
9,74,29
9,75,2
9,76,536
9,77,3
9,78,56
9,79,56
9,80,483
9,81,1477
9,84,634
9,85,8
9,87,2
9,88,32479
9,89,22
9,90,1
9,91,1
9,92,2
9,93,10
9,95,2
9,96,92
9,97,17
9,98,75
9,99,202
9,100,4
9,101,64
9,102,29
9,103,48
9,104,3
9,105,49
9,106,387
9,108,1
9,109,20
9,110,84
9,111,14
9,112,17
9,113,1
9,114,97
9,115,4
9,116,9
9,117,37
9,118,114
9,119,19
9,120,4
9,121,42
9,123,148
9,124,76
9,126,2
9,128,5
9,129,15309
9,130,20
9,133,1
9,135,37593
9,136,46491
9,138,1
9,140,14955
9,141,2
9,142,18
9,143,12
9,144,34818
9,145,2
9,150,6
9,151,1
9,152,18
9,154,13
9,155,1
9,156,14
9,157,121
9,158,1394
9,159,74
9,160,11
9,161,1
9,162,5
9,163,3
9,164,11
9,165,3
9,169,540
9,170,340
9,171,1995
9,174,183
10,11,4154
10,12,126
10,13,337
10,14,320
10,19,83
10,20,1
10,21,37
10,22,285
10,24,1
10,27,55
10,30,1
10,31,99
10,32,199
10,33,484
10,34,484
10,35,33
10,38,22
10,39,246
10,40,246
10,42,2
10,44,115
10,47,62
10,48,250
10,49,1119
10,50,3
10,52,1233
10,53,2
10,54,2
10,55,1
10,56,1
10,57,8
10,58,10
10,59,504
10,60,1
10,61,288
10,62,22
10,63,82
10,64,236
10,65,222
10,66,72
10,67,1
10,71,1
10,72,110
10,73,11
